,Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#
0,Lost Property,5810 S. University (Quad),7/1/10 12:42 PM,6/28/10 2:45 PM,Woman reports losing a Canon Power Shot digital camera while in the Quad,Closed,W0731
1,Criminal Damage to Vehicle,61st & Drexel,7/1/10 2:01 PM,6/29/10 to 7/1/10 3:00 PM to 1:50 PM,Unknown person smashed windshield of a rental truck parked in a vacant lot,Open,W0732
2,Theft from Motor Vehicle,60th between Ingleside & Ellis,7/1/10 2:48 PM,6/29/10 to 7/1/10 5:30 PM to 12:30 PM,Unknown person smashed rear passenger's side window of vehicle parked on the street and took a GPS device,Open,W0733
3,Theft,60th and Ellis,7/1/10 3:13 PM,6/23/10 to 6/29/10 9:00 AM to 5:00 PM,Bicycle taken from bike rack,Open,W0734
4,Chemical Spill,924 E. 57th St. (BSLC),7/1/10 6:15 PM,7/1/10 6:15 PM,"Bottle slipped from man's hands, broke causing chemical to spill on his clothes, countertop and floor / Safety notified / No injuries",Closed,W0735
5,Lost Property,"Out of Area - Palos Heights, IL",7/1/10 11:09 PM,7/1/10 10:00 PM,Staff member reports losing wallet containing UC ID while in a restaurant,Closed,W0736
6,Possession of Cannabis,Everett at 56th,7/1/10 11:50 PM,7/1/10 11:50 PM,UCPD officers arrested two males for possession of marijuana,Arrest,W0737
7,Battery,Maryland between 53rd & 54th,7/1/10 10:45 PM,7/1/10 10:45 PM,"A man, who appeared to be intoxicated, struck another man for no apparent reason / Arrest",Arrest,W0738
8,Robbery,55th at Kenwood,7/2/10 2:24 PM,7/2/10 1:45 AM,"A group of youths knocked a man to the ground and took his cell phone, MP3 player and head phones",Open,W0739
9,Injured Person,55th at Woodlawn,7/3/10 12:45 AM,7/2/10 10:20 PM,Man riding bicycle struck by a motor vehicle at the intersection / Transported to hospital by CFD EMS,Closed,W0741
10,Disturbance,University between 56th & 57th,7/3/10 2:05 AM,7/3/10 2:05 AM,Loud noise and music at a residence / Peace restored,Closed,W0740
11,Injured Person,5815 S. Maryland (Mitchell Hosp.),7/3/10 1:43 PM,7/3/10 1:20 PM,"Woman walked out of main entrance, tripped over rug, fell injuring right knee / Refused medical attention",Closed,W0742
12,Theft,5530 S. Ellis (Ratner AC),7/3/10 5:12 PM,7/3/10 4:00 PM to 5:00 PM,"Unknown person took duffel bag, keys, and miscellaneous articles from a locked gym locker / Lock also taken",Open,W0743
13,Disturbance,University between 56th & 57th,7/4/10 12:10 AM,7/4/10 12:00 AM,Neighbors complained of people setting off fireworks / Peace restored,Closed,W0744
14,Fire,1118 E. 58th St. (Eckhart Hall),7/4/10 2:05 AM,7/4/10 2:00 AM,Small fire in trash can outside of Eckhart Hall / Extinguished / CFD responded,Closed,W0745
15,Attempt Burglary,61st between Ingleside & Ellis,7/4/10 7:46 AM,7/4/10 7:20 AM,Unknown male subject gained entry to residence via open window / Suspect fled when confronted by occupant,Open,W0746
16,Theft from Motor Vehicle,Midway Pl. between Cottage Grove & Drexel,7/5/10 12:12 PM,7/5/10 7:00 AM to 11:45 AM,Unknown person smashed passenger's side vent window of car parked on the street and took a GPS device,Open,W0747
